Degree,Features,9-fold Loss
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.1764196066173927
1,"['Max', 'Range', 'Skewness', 'Min', 'CoefficientOfVariation']",0.17643168528172876
1,"['Range', 'Skewness', 'ExcessKurtosis', 'CoefficientOfVariation']",0.1764380418263753
1,"['Percentile10', 'Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation']",0.17645867859283973
1,"['Max', 'RobustMeanAbsoluteDeviation', 'Skewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.1765952529860325
1,"['RobustMeanAbsoluteDeviation', 'Skewness', 'PearsonsMedianSkewness', 'ExcessKurtosis', 'Min']",0.17671112861179725
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'Min', 'IntensityEnergy']",0.17673783549291672
1,"['Max', 'Range', 'IntensityEnergy']",0.17676968818310396
1,"['Max', 'Min', 'IntensityEnergy']",0.17677009468569901
1,"['Range', 'Min', 'IntensityEnergy']",0.176770286254032
1,"['Max', 'Range', 'ExcessKurtosis', 'IntensityEnergy']",0.17699073742924462
1,"['Max', 'ExcessKurtosis', 'Min', 'IntensityEnergy']",0.1769917611999358
1,"['Range', 'ExcessKurtosis', 'Min', 'IntensityEnergy']",0.17699224315942141
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'Range', 'RobustMeanAbsoluteDeviation']",0.17734065455817444
1,"['Max', 'ShiftedRootMeanSquaredIntensity', 'RobustMeanAbsoluteDeviation', 'Min']",0.17734357205056306
1,"['ShiftedRootMeanSquaredIntensity', 'Range', 'RobustMeanAbsoluteDeviation', 'Min']",0.1773442667556834
1,"['Range', 'Skewness', 'CoefficientOfVariation', 'IntensityEnergy']",0.1774204852344642
